iteration,latency_ms
0,321.1451
1,319.6433
2,317.505
3,321.5683
4,318.3482
5,319.0967
6,315.4146
7,320.9803
8,320.5966
9,320.0355
10,317.1082
11,318.2784
12,319.173
13,316.8513
14,320.261
15,317.0397
16,317.3586
17,316.1739
18,320.9641
19,317.0545
20,319.4685
21,320.3678
22,316.613
23,316.9605
24,317.2245
25,319.0435
26,318.0112
27,318.4651
28,315.5999
29,321.4476
30,313.5486
31,321.8878
32,317.088
33,319.4947
34,321.2205
35,318.0727
36,319.3799
37,317.8696
38,321.01
39,316.8055
40,318.9304
41,315.6995
42,317.6174
43,319.1558
44,315.7526
45,319.3596
46,314.488
47,318.3026
48,317.8457
49,320.2076
50,318.2852
51,319.7251
52,316.2532
53,320.226
54,320.7427
55,318.2708
56,317.4946
57,314.4578
58,319.4752
59,314.2531
60,321.3511
61,314.2308
62,318.8016
63,317.096
64,321.7012
65,321.6854
66,316.1469
67,316.5777
68,313.7541
69,320.9366
70,315.7286
71,319.5415
72,318.3175
73,320.478
74,317.2077
75,317.495
76,321.4057
77,316.3168
78,322.3904
79,314.9369
80,318.4482
81,317.0418
82,319.8203
83,318.2302
84,319.9412
85,318.4405
86,317.6754
87,322.5829
88,315.6154
89,318.8519
90,318.4073
91,322.3922
92,318.4574
93,317.1842
94,319.3839
95,318.3581
96,317.4475
97,317.0337
98,318.3196
99,316.5888
