iteration,latency_ms
0,355.4814
1,356.1341
2,349.0806
3,355.8903
4,348.2542
5,353.84
6,353.7378
7,353.0665
8,355.831
9,351.6608
10,357.3037
11,354.209
12,350.9407
13,353.3811
14,351.1372
15,354.7869
16,353.1572
17,351.8322
18,355.6183
19,347.0005
20,353.691
21,351.4692
22,354.5115
23,352.1406
24,349.1361
25,354.3842
26,350.4914
27,350.944
28,356.1268
29,346.9889
30,356.3937
31,350.3753
32,349.8365
33,358.2196
34,351.8434
35,358.0897
36,352.6583
37,352.2631
38,351.5858
39,352.4711
40,355.3649
41,352.1361
42,350.9745
43,357.8379
44,351.4253
45,354.041
46,354.1264
47,348.5191
48,356.123
49,347.071
50,353.3523
51,354.6273
52,351.2232
53,354.5934
54,349.486
55,354.6337
56,350.6161
57,351.8861
58,352.3694
59,349.1916
60,354.334
61,353.3243
62,349.1654
63,353.6059
64,349.5646
65,356.7758
66,352.3174
67,350.7422
68,352.3263
69,346.1917
70,359.1651
71,350.0626
72,350.2521
73,355.2357
74,351.4839
75,351.0624
76,348.3105
77,354.6403
78,354.0285
79,350.043
80,356.9782
81,347.9712
82,355.7722
83,351.9395
84,349.2798
85,356.3085
86,351.2391
87,353.575
88,355.7049
89,351.0788
90,355.041
91,351.5939
92,353.9202
93,356.3196
94,351.5591
95,354.6134
96,350.0067
97,354.2272
98,356.8764
99,349.0734
