iteration,latency_ms
0,87.702
1,85.101
2,85.851
3,85.3554
4,84.8554
5,85.5142
6,87.9997
7,85.1341
8,85.4277
9,84.8991
10,85.4794
11,84.8461
12,84.767
13,89.5794
14,86.2624
15,85.303
16,85.4327
17,84.9065
18,85.0789
19,88.671
20,88.1045
21,85.9353
22,84.9569
23,86.2068
24,85.3795
25,87.0229
26,87.9112
27,85.381
28,85.6336
29,85.39
30,85.1768
31,86.7618
32,90.4169
33,84.7501
34,84.3916
35,85.6759
36,85.4249
37,85.9166
38,85.8412
39,87.0463
40,84.2222
41,86.3629
42,86.3398
43,84.4011
44,86.6619
45,89.6978
46,86.185
47,86.0409
48,86.0409
49,86.1886
50,85.2492
51,86.2182
52,89.9528
53,85.2544
54,85.9736
55,85.3377
56,85.3483
57,85.3769
58,90.0025
59,85.5343
60,85.6493
61,85.7514
62,85.5443
63,85.4466
64,86.2375
65,86.8893
66,87.4078
67,85.5942
68,86.0071
69,86.5128
70,85.3189
71,91.0706
72,85.3077
73,85.4272
74,86.1978
75,85.3488
76,85.449
77,89.0404
78,88.6961
79,84.791
80,84.8954
81,84.3509
82,84.3191
83,85.0315
84,90.2772
85,84.2608
86,85.8929
87,85.9884
88,86.5181
89,86.6273
90,86.9234
91,86.9468
92,85.3298
93,84.2896
94,86.4017
95,85.4123
96,84.7787
97,88.9501
98,85.2365
99,86.7718
