iteration,latency_ms
0,256.13
1,253.9824
2,255.278
3,254.2738
4,254.7042
5,255.1461
6,257.4498
7,250.9156
8,256.1595
9,253.4346
10,257.2485
11,254.351
12,256.7705
13,251.1611
14,256.194
15,256.2574
16,253.6586
17,257.3436
18,252.4252
19,259.0304
20,253.3454
21,257.3087
22,252.3217
23,253.0267
24,253.9482
25,256.0332
26,250.4868
27,256.9157
28,253.0612
29,256.5172
30,252.92
31,259.4175
32,252.2561
33,255.0852
34,256.7586
35,254.3323
36,254.9586
37,253.6201
38,255.3433
39,253.3793
40,256.1589
41,255.3145
42,254.5778
43,252.7114
44,256.8906
45,253.8866
46,257.5613
47,252.5598
48,258.7079
49,251.4307
50,257.8278
51,255.8521
52,254.4358
53,255.3624
54,254.6812
55,255.1557
56,252.904
57,255.0259
58,252.7031
59,256.6674
60,253.7518
61,257.2142
62,253.8021
63,257.0875
64,254.2899
65,257.3677
66,252.7226
67,254.6301
68,255.1881
69,254.3867
70,258.007
71,254.2618
72,256.472
73,255.17
74,254.9701
75,252.9991
76,256.5448
77,253.4575
78,258.4937
79,249.8489
80,258.2976
81,252.9595
82,254.5776
83,253.2092
84,255.42
85,254.5638
86,251.7953
87,257.0447
88,252.4055
89,255.9276
90,251.1398
91,256.5572
92,252.3966
93,257.3013
94,254.8931
95,257.4062
96,253.259
97,256.8029
98,250.0277
99,260.2576
