iteration,latency_ms
0,1146.199
1,1145.702
2,1144.087
3,1141.2947
4,1141.5748
5,1146.4375
6,1148.3838
7,1143.8051
8,1141.9688
9,1144.4042
10,1144.4918
11,1142.5531
12,1146.3818
13,1148.1422
14,1145.4149
15,1144.4125
16,1146.808
17,1146.3175
18,1144.2279
19,1142.194
20,1149.384
21,1145.55
22,1145.9707
23,1144.2909
24,1145.6791
25,1140.1094
26,1150.8032
27,1147.1223
28,1146.0378
29,1143.6395
30,1142.8455
31,1144.1541
32,1144.368
33,1145.4622
34,1147.1304
35,1144.6375
36,1147.1749
37,1146.3431
38,1144.2522
39,1142.926
40,1146.9089
41,1150.0649
42,1145.1263
43,1143.285
44,1144.5358
45,1141.4272
46,1141.9181
47,1144.356
48,1145.8812
49,1142.9872
50,1146.7438
51,1144.2705
52,1143.7264
53,1144.649
54,1145.5293
55,1145.8472
56,1142.2616
57,1144.4762
58,1145.0388
59,1146.743
60,1149.3759
61,1146.7783
62,1142.0571
63,1145.0577
64,1146.011
65,1142.9664
66,1148.4794
67,1142.5378
68,1146.8824
69,1147.611
70,1147.021
71,1144.1591
72,1144.9602
73,1145.9164
74,1147.8007
75,1141.627
76,1142.4214
77,1148.7969
78,1142.0341
79,1144.5065
80,1150.6246
81,1144.3042
82,1144.3052
83,1144.0959
84,1145.9022
85,1146.7489
86,1146.7992
87,1143.1566
88,1142.9028
89,1149.0685
90,1145.953
91,1144.2401
92,1141.3458
93,1143.5253
94,1145.3375
95,1149.337
96,1144.6698
97,1146.7426
98,1141.8734
99,1142.5768
