iteration,latency_ms
0,137.988
1,134.7215
2,135.3231
3,134.1758
4,137.6353
5,132.635
6,135.133
7,135.3287
8,135.9397
9,135.3506
10,135.31
11,136.4397
12,138.3747
13,133.8845
14,136.2111
15,133.5534
16,138.2679
17,136.6285
18,131.8486
19,135.1657
20,136.4561
21,133.6407
22,133.0528
23,135.3941
24,135.3375
25,135.8722
26,134.5553
27,135.3422
28,139.5111
29,134.8089
30,135.3622
31,134.3905
32,139.4317
33,135.0567
34,132.6637
35,134.506
36,136.1887
37,135.8878
38,134.6106
39,135.9858
40,136.2239
41,135.7349
42,133.624
43,134.5116
44,138.059
45,133.4129
46,134.27
47,135.115
48,136.7861
49,135.17
50,137.0759
51,134.2535
52,137.2444
53,132.5941
54,133.3342
55,135.1541
56,136.4707
57,136.2774
58,134.2141
59,135.0835
60,137.9406
61,133.2929
62,135.1041
63,132.5617
64,137.7163
65,134.3186
66,134.3782
67,133.5632
68,138.6621
69,136.0305
70,134.5195
71,135.1825
72,136.7186
73,133.4453
74,132.7362
75,133.4837
76,136.8761
77,135.2548
78,135.0838
79,135.4448
80,139.1592
81,133.261
82,135.3588
83,133.1919
84,137.7218
85,133.3476
86,134.2917
87,133.6426
88,136.32
89,133.5699
90,136.2297
91,134.3839
92,138.4844
93,133.3519
94,134.4393
95,134.7845
96,136.0787
97,132.8323
98,133.4225
99,133.9642
