iteration,latency_ms
0,2296.3384
1,2294.4377
2,2290.425
3,2291.4094
4,2291.5793
5,2294.1621
6,2294.1799
7,2288.563
8,2293.2251
9,2288.1206
10,2283.084
11,2289.8105
12,2294.7522
13,2293.6494
14,2292.6094
15,2287.8445
16,2284.8542
17,2290.0774
18,2294.5913
19,2291.1465
20,2300.271
21,2290.4275
22,2293.9705
23,2286.1826
24,2287.6289
25,2296.2495
26,2284.3132
27,2294.4929
28,2291.2234
29,2290.5884
30,2295.7222
31,2287.9167
32,2292.71
33,2290.0142
34,2293.2358
35,2294.1506
36,2294.6638
37,2292.5386
38,2292.9106
39,2294.5022
40,2292.6941
41,2294.6704
42,2295.062
43,2291.5652
44,2286.3472
45,2293.3076
46,2294.0486
47,2298.6426
48,2291.9646
49,2286.1724
50,2297.1577
51,2290.8486
52,2297.8633
53,2290.1003
54,2295.1382
55,2289.2092
56,2294.1335
57,2286.8208
58,2292.9253
59,2295.6965
60,2284.5813
61,2285.0439
62,2292.2683
63,2296.6284
64,2291.1162
65,2291.8835
66,2286.3684
67,2285.0291
68,2292.0676
69,2290.7329
70,2288.1753
71,2288.7812
72,2294.001
73,2289.2007
74,2288.5378
75,2295.75
76,2287.3574
77,2282.2224
78,2288.6819
79,2295.4089
80,2293.7659
81,2292.9958
82,2286.8145
83,2294.1062
84,2300.3613
85,2294.3667
86,2287.1216
87,2284.3169
88,2288.8606
89,2293.615
90,2292.2334
91,2293.3684
92,2289.8145
93,2288.4468
94,2296.5073
95,2285.7722
96,2293.1638
97,2290.2712
98,2293.2871
99,2292.2551
