iteration,latency_ms
0,1149.1035
1,1143.1984
2,1146.2197
3,1145.8307
4,1144.8617
5,1146.7672
6,1145.9597
7,1144.9518
8,1143.7319
9,1147.9979
10,1144.7966
11,1144.162
12,1141.7438
13,1145.3445
14,1145.6506
15,1151.2231
16,1145.2078
17,1144.6466
18,1145.1189
19,1146.0616
20,1143.625
21,1144.6606
22,1149.5758
23,1144.6233
24,1146.7037
25,1144.1334
26,1143.202
27,1145.4667
28,1147.9313
29,1149.3314
30,1143.9176
31,1144.6302
32,1153.9751
33,1144.7775
34,1146.4858
35,1146.6603
36,1148.0719
37,1147.5801
38,1147.3672
39,1140.0754
40,1140.8136
41,1144.1688
42,1147.2979
43,1142.7823
44,1144.0258
45,1142.3384
46,1148.7916
47,1148.0032
48,1145.3457
49,1137.734
50,1142.9928
51,1141.7137
52,1140.3414
53,1148.248
54,1143.5176
55,1150.3088
56,1144.1102
57,1145.0261
58,1146.3862
59,1148.5723
60,1146.4368
61,1143.6941
62,1148.4426
63,1146.8865
64,1144.8171
65,1142.0115
66,1143.9907
67,1146.2064
68,1144.0245
69,1142.6819
70,1144.3647
71,1152.3712
72,1148.8855
73,1143.9884
74,1143.493
75,1143.9066
76,1144.8134
77,1143.4705
78,1147.9972
79,1146.5767
80,1149.6288
81,1142.4393
82,1149.7123
83,1146.0363
84,1143.2107
85,1148.536
86,1144.7833
87,1146.8176
88,1142.317
89,1147.863
90,1144.9932
91,1145.0674
92,1146.5253
93,1146.0719
94,1146.8558
95,1145.0531
96,1145.0026
97,1141.4397
98,1137.1555
99,1143.6442
