iteration,latency_ms
0,2260.4136
1,2267.0637
2,2266.1973
3,2263.3777
4,2269.6475
5,2260.8618
6,2258.4915
7,2268.364
8,2269.321
9,2263.0762
10,2262.7231
11,2260.252
12,2263.2148
13,2266.7183
14,2265.135
15,2266.686
16,2253.7617
17,2262.4473
18,2262.9619
19,2267.1077
20,2266.7153
21,2267.2029
22,2270.3525
23,2267.0874
24,2270.4834
25,2265.8926
26,2268.1152
27,2266.0286
28,2261.5564
29,2266.9268
30,2261.6816
31,2263.5342
32,2273.354
33,2266.0776
34,2263.0742
35,2262.6829
36,2261.5337
37,2264.3762
38,2264.104
39,2265.782
40,2267.6565
41,2264.0952
42,2262.8894
43,2260.6328
44,2266.9077
45,2262.2825
46,2260.6887
47,2255.9651
48,2270.6409
49,2268.9973
50,2262.8408
51,2264.0505
52,2265.6616
53,2263.8467
54,2269.4497
55,2270.6655
56,2265.2126
57,2263.074
58,2260.3127
59,2260.6309
60,2256.9512
61,2258.1772
62,2265.6233
63,2270.9675
64,2263.5591
65,2264.624
66,2265.2595
67,2262.825
68,2269.6873
69,2268.7673
70,2266.7544
71,2267.7415
72,2257.8281
73,2269.2253
74,2266.4453
75,2263.4993
76,2264.3953
77,2269.8435
78,2264.9141
79,2262.1885
80,2262.51
81,2264.6401
82,2262.6887
83,2258.1724
84,2270.2817
85,2260.9197
86,2265.6025
87,2258.7769
88,2261.9233
89,2261.9248
90,2262.6726
91,2268.9893
92,2263.98
93,2277.3477
94,2258.9678
95,2267.1331
96,2265.4165
97,2264.916
98,2265.6917
99,2269.7058
